1.9195	3.2287	3.7956	4.1853	4.6487	4.7485	4.9393	5.0767	5.24	5.4913	5.8034
1.5891	2.8062	3.3512	3.7519	4.2739	4.372	4.5566	4.6967	4.8406	5.0894	5.4368
1.0683	2.0653	2.8576	3.2177	3.7433	4.1587	4.4695	4.7252	4.8552	5.1599	5.5129
2.1875	3.4126	4.1066	4.1922	4.6841	5.0312	5.373	5.4893	5.5659	5.9129	6.1698
3.3397	4.9788	5.5536	5.612	6.0953	6.19	6.4695	6.4214	6.4147	6.9496	6.9006
5.5492	6.8181	7.2525	7.3398	7.4626	7.5342	7.4531	7.3285	7.0683	6.9818	7.269
4.2767	4.919	5.4593	5.6198	5.8501	5.8893	6.0199	6.067	5.9858	6.0698	6.528
3.373	4.1778	4.575	4.6894	5.174	5.1893	5.3648	5.448	5.4359	5.5247	6.2276
2.7505	3.3688	3.7812	4.0391	4.2548	4.4721	4.5741	4.6891	4.8052	5.1186	5.7968
2.9824	4.2315	4.7952	5.0053	5.2087	5.3751	5.5352	5.5972	5.656	5.8474	6.1095
2.2362	3.0576	3.5446	3.8316	4.1145	4.2411	4.4667	4.5511	4.6735	4.8709	5.1961
2.0789	2.9651	3.433	3.7072	3.9825	4.1482	4.3612	4.4522	4.57	4.772	5.0923
2.045	2.9704	3.3925	3.6826	3.9696	4.0196	4.2727	4.4542	4.5806	4.7181	5.1717
1.8317	2.4791	3.1337	3.4521	3.8697	4.0617	4.323	4.5064	4.6632	4.8107	5.2893
1.8054	2.4703	3.1732	3.4657	3.8772	4.0627	4.3259	4.528	4.71	4.8274	5.2507
1.789	2.5331	3.1402	3.3961	3.8049	3.9926	4.2425	4.4414	4.5936	4.7064	5.0886
1.8546	2.8366	3.2846	3.4759	3.8664	4.1091	4.3537	4.5362	4.6738	4.7978	5.0554
2.5848	2.9424	3.2727	3.4535	3.7323	3.9971	4.2079	4.4093	4.5378	4.6507	5.0588
1.4729	1.9824	2.37	2.559	2.8423	3.1514	3.3951	3.6681	3.8371	3.9272	4.4778
1.4774	1.8708	2.2513	2.5493	2.8103	3.1128	3.3745	3.6433	3.7943	3.8635	4.4392
1.1924	1.707	2.0877	2.3388	2.6563	2.9741	3.3074	3.5495	3.7049	3.8116	4.2939
1.2865	1.712	2.0702	2.4159	2.736	2.9417	3.2987	3.5921	3.7814	3.9383	4.4624
1.1988	2.0662	2.3961	2.7722	2.9786	3.2106	3.6427	3.8413	3.9989	4.0787	4.639
1.1999	1.9464	2.1997	2.7452	2.9595	3.2053	3.5397	3.8055	3.9851	4.129	4.6097
1.0082	1.6291	1.9808	2.5454	2.7823	3.0822	3.3074	3.6307	3.8672	4.0001	4.4999
0.7917	1.3076	1.7419	2.3795	2.6844	2.9532	3.1869	3.503	3.7385	3.9656	4.4002
0.8191	1.3917	1.8878	2.5387	2.8357	2.8785	3.2142	3.4946	3.7354	3.9807	4.5127
0.9706	1.8606	2.2915	2.8255	3.0293	3.0928	3.4428	3.6565	3.8802	4.0995	4.588
0.8349	1.498	2.0101	2.4175	2.7843	3.0598	3.3889	3.6127	3.869	4.1264	4.5257
0.9014	1.5079	1.9665	2.362	2.6938	2.9637	3.3076	3.5104	3.7611	4.0017	4.483
0.8289	1.4914	1.9999	2.4234	2.7589	3.0042	3.3127	3.571	3.8203	4.0587	4.5597
0.7352	1.4719	1.9957	2.4925	2.8248	3.0892	3.3043	3.5594	3.7745	4.0029	4.392
0.7354	1.6315	2.2446	2.6633	2.941	3.1483	3.3465	3.5617	3.8196	4.0607	4.4527
0.7298	1.584	2.2137	2.6331	2.9162	3.1909	3.3862	3.6529	3.9106	4.144	4.5624
0.9202	1.5264	2.2734	2.8928	3.2552	3.4656	3.5872	3.9205	4.1945	4.4178	4.8521
1.0363	1.6285	2.4306	3.0518	3.3419	3.6116	3.873	4.0005	4.2205	4.4701	4.9429
1.1421	1.7805	2.4294	2.9076	3.15	3.3063	3.335	3.6647	3.9229	4.2644	4.6583
1.1005	1.9139	2.5667	3.0462	3.2681	3.3969	3.4	3.7508	3.9934	4.3812	4.8344
1.1483	2.1575	2.8805	3.3287	3.6223	3.7332	3.737	4.0978	4.3417	4.6645	5.14
1.3113	2.3731	2.9787	3.3343	3.5155	3.7093	3.914	4.1234	4.3629	4.6978	5.0573
2.0242	3.0758	3.5474	3.6578	3.6139	3.7528	3.8469	4.0535	4.2825	4.3689	4.817
2.314	3.2713	3.5931	3.8707	3.8454	3.9525	4.0444	4.2106	4.2758	4.4486	4.7775
2.6963	3.5147	3.9	4.0428	4.2672	4.3691	4.5501	4.7628	4.9256	5.1345	5.2306
3.719	4.0037	4.2456	4.3344	4.4666	4.4842	4.5797	4.6552	4.7362	4.8822	4.9968
4.2587	4.3949	4.5073	4.525	4.5563	4.5355	4.599	4.6424	4.6927	4.8059	4.8936
4.3277	4.5212	4.6334	4.6613	4.6843	4.6946	4.6934	4.7507	4.8044	4.889	5.0112
4.5741	4.8874	5.032	5.0506	5.042	5.0278	5.0106	5.0712	5.0726	5.1568	5.2699
4.2293	4.5035	4.5448	4.5957	4.6043	4.6022	4.5967	4.6333	4.6914	4.8436	4.9787
